n,id,username,date,content,url
0,1410025193800712193,MioPinares,2021-06-29 23:59:37+00:00,"Grupo Temporal Trabajo del Gobierno #Cuba aprobó nuevo Plan Medidas, ajustado a situación actual  #Covid19, declaró 1er Ministro Manuel Marrero, reporta @leticiadeCuba Irán a provincias + complicadas equipos que ayuden a contener la situación, junto a las autoridades locales.",https://twitter.com/MioPinares/status/1410025193800712193
1,1410025050904961028,EUCLIDES_LOPEZ,2021-06-29 23:59:03+00:00,"""Una persona que no crea en la ciencia médica en referencia a las vacunas contra el Covid-19, es un  suicida"".",https://twitter.com/EUCLIDES_LOPEZ/status/1410025050904961028
2,1410024916682952704,jmenkos,2021-06-29 23:58:31+00:00,"#Guatemala 
Es cierta la complejidad de conseguir vacunas en el contexto global pero la forma en que la mayoría oficialista en el @CongresoGuate y el @GuatemalaGob han tratado la negociación de vacunas #Covid_19 demuestra negligencia e ineptitud. #DondeEstanLasVacunas",https://twitter.com/jmenkos/status/1410024916682952704
3,1410024826383867911,Geremia78967963,2021-06-29 23:58:10+00:00,"No vemos el mundo como es, sino como nosotros somos. Nuestro propio concepto es lo que vemos.
.
.
.
.
.
.
.
#AM #lavosdetualma
#lainGarcíacalvo
#aprendiendo
#Agradecido
#Covid_19
#Bitcoin
#tupuedes",https://twitter.com/Geremia78967963/status/1410024826383867911
4,1410024747824451592,DrAdanBenavides,2021-06-29 23:57:51+00:00,"COVID19 en México
29/06/2021
Son datos de la semana epidemiológica 24 de 2021 
Confirmados 2,513,164
Defunciones 232,803
Defunciones totales (incluye sospechosas) 245,187
Casos Activos estimados 35,288 
Sospechosos totales 441,123
Negativos 4,529,492

I",https://twitter.com/DrAdanBenavides/status/1410024747824451592
5,1410024613774512128,Merguima,2021-06-29 23:57:19+00:00,"Me desperté con ganas de vivir en Brasil, en un mundo sin covid-19",https://twitter.com/Merguima/status/1410024613774512128
6,1410024541611569154,MaartinCaastro,2021-06-29 23:57:02+00:00,"Hace como 5 horas que el chabon del taller mecánico de Córdoba puso que recupero los $400.000 en productos que le afanaron y la gente le sigue depositando plata...

A esta ritmo mañana ya va a tener para ir a Miami a vacunarse el #covid19 y quedarse un mes de vacaciones",https://twitter.com/MaartinCaastro/status/1410024541611569154
7,1410024407888695300,MioPinares,2021-06-29 23:56:30+00:00,"Ministro Salud Pública @japortalmiranda informó hoy que el país se encuentra en Fase Transmisión Comunitaria (antes era transmisión autóctona),  x elevados niveles contagio y aumento tasa incidencia #Covid19 últimos 15 días. Se suma la circulación de cepas altamente contagiosas.",https://twitter.com/MioPinares/status/1410024407888695300
8,1410024130448179202,Johanrp,2021-06-29 23:55:24+00:00,"ESTOY HARTA DEL COVID-19 Y TODAS SUS PUTAS VARIANTES, NO JODA!!!",https://twitter.com/Johanrp/status/1410024130448179202
9,1410023821332074502,MennyValdz,2021-06-29 23:54:10+00:00,"Desde ayer se  habla de un cambio de horario en las ofnas de @gobtam debido al COVID 19
Recuerda que si tu horario es por ejemplo de 8 am - 4 pm (8 hrs) NO TE PUEDEN PONER OTRO donde salgas despues de las 4 PM
ES CONTRA LA LEY #cdvictoria #reynosa #tampico #matamoros #nuevolaredo",https://twitter.com/MennyValdz/status/1410023821332074502
10,1410023767984726016,ArturoC69755641,2021-06-29 23:53:57+00:00,"#AC#jun29| Sin energía eléctrica en muchos sectores del municipio San Carlos estado Cojedes. Aunado a la falta de vacunas anti-Covid19, sin combustible, comida y pare de contar. Definitivamente estamos en colapso total en el estado potencia de Venezuela. @alexandermirele .",https://twitter.com/ArturoC69755641/status/1410023767984726016
11,1410023754793734148,AblestFootball,2021-06-29 23:53:54+00:00,"Acabo de ver por #Telesur no sé la confiabilidad que están vacunando con abdala  😳 masivamente, los cubanos c/día con más restricciones y sin vacunar todavía 😡
Son vidas tengan en cuenta que la vacuna previene las formas graves de la infección X #Covid19 o sea q c/muerte cuenta",https://twitter.com/AblestFootball/status/1410023754793734148
12,1410023508760010752,manchuila37,2021-06-29 23:52:56+00:00,"Situación COVID-19 del 29 de junio 2021 en Panamá
Nuevos casos: 1249
Recuperados: 383,656
(*985)
Total de casos: 402,581
Pruebas Nuevas: 14,244 (+8.7%)
Fallecidos: 6,536(7hoy)
En casa: 11,341
Hoteles: 365
Hospitalizados: 683
Sala: 575
UCI: 108
Total Pruebas: 2,983,855",https://twitter.com/manchuila37/status/1410023508760010752
13,1410023357349834754,ferzaguz,2021-06-29 23:52:20+00:00,"Bien raro...durante las campañas electorales y no obstante que había aglomeraciones, ya no había contagios de #COVID19  ...concluyeron las mismas y éstos se dispararon! 🤔

#FelizMartes #SalarioRosa HBO Max Silvano Inglaterra",https://twitter.com/ferzaguz/status/1410023357349834754
14,1410023343798030339,jorjoesan,2021-06-29 23:52:16+00:00,"Un beneficiario más de la vacuna contra el COVID-19, estoy que me muero. Cómo duele esto!",https://twitter.com/jorjoesan/status/1410023343798030339
15,1410023255281438724,ShowImpactos,2021-06-29 23:51:55+00:00,"Por prevención, el Ministro de Salud de Misiones @OscarAlarconMis permanece internado en el @heamadariaga . Estaría con oxígeno de apoyo tras dar positivo de Covid-19. 
Toda la info, mañana en @ShowImpactos",https://twitter.com/ShowImpactos/status/1410023255281438724
16,1410022949307006978,FarmaciaG2,2021-06-29 23:50:42+00:00,Mañana es dia 30 teórico fin del plazo para lanzar el nuevo decreto q permitirá la venta libre en farmacias de test de antígenos #testantigenosya #COVID19 #ULTIMAHORA #EncuestaSemana #Opinion os atrevéis a decir q creéis q va a pasar? @FarmaciaG2,https://twitter.com/FarmaciaG2/status/1410022949307006978
17,1410022944764579845,Leydapena2,2021-06-29 23:50:41+00:00,"Este Covid-19 ya no tiene cavidad en nuestro mundo, así que acatemos las normas de BIOSEGURIDAD y listo  se va...",https://twitter.com/Leydapena2/status/1410022944764579845
18,1410022883838115841,ElAragueno,2021-06-29 23:50:27+00:00,"#ServicioPúblico Pacientes con covid19, requiren apoyo con oxígeno, Elsa Yubiry Cerró Utrera, de 70 años y Silvia Rayanni Fonseca Cerró, de 37 años. Estan siendo atendidas en su residencia ubicada en  san Jacinto Contacto Silvia Iruani Cerro 0412-1326277 Sheyla Cerro  04144740793",https://twitter.com/ElAragueno/status/1410022883838115841
19,1410022868604305409,diego_dagostino,2021-06-29 23:50:23+00:00,"Si me vacunan pero no subo foto a ninguna red social. La #vacuna hace efecto? 
#COVID19 #COVISHIELD",https://twitter.com/diego_dagostino/status/1410022868604305409
20,1410022804595036160,panamalaverdad,2021-06-29 23:50:08+00:00,"*Situación COVID-19 del 29 de junio 2021 en Panamá* 

Nuevos casos: 1249
Recuperados: 383,656
(*985)
Total de casos: 402,581
Pruebas Nuevas: 14,244 (+8.7%)
Fallecidos: 6,536(7hoy)
En casa: 11,341
Hoteles: 365
Hospitalizados: 683
Sala: 575
UCI: 108",https://twitter.com/panamalaverdad/status/1410022804595036160
21,1410022689868292100,ngsalam94,2021-06-29 23:49:40+00:00,"El vacunarnos contra el Covid-19 no nos hace inmunes people, hay que seguir usando mascarilla, alcohol gel y volver a permanecer en casita.",https://twitter.com/ngsalam94/status/1410022689868292100
22,1410022621580771331,abril_fleites,2021-06-29 23:49:24+00:00,"Bitácora post vacuna COVID-19… me duele la cabeza, cuerpo cortado y temperatura de 37. Hasta aquí mi reporte Joaquín",https://twitter.com/abril_fleites/status/1410022621580771331
23,1410022267669692417,Bailmex1,2021-06-29 23:48:00+00:00,"La #reactivacióneconómica en el país permitió que en los últimos doce meses la recuperación de 86 por ciento de las empresas formales, principalmente de los sectores de la construcción y del comercio, que se perdieron a causa de la crisis del #Covid19. Fuente: @ElFinanciero_Mx",https://twitter.com/Bailmex1/status/1410022267669692417
24,1410022263798239235,FrancoBassoSotz,2021-06-29 23:47:59+00:00,A las 23.20 estaré en #ViaPublicaTVN con @matiasdelrio conversando sobre transporte público y #COVID19,https://twitter.com/FrancoBassoSotz/status/1410022263798239235
25,1410022187197730816,GingerRey2011,2021-06-29 23:47:41+00:00,"Con mis impuestos le tengo que pagar el hotel a los chetos que se fueron al exterior de vacaciones. 
#HartosDeMantenerChetos
#ChetoPlaneros
#CABA #COVID19 #COVIDIOTAS",https://twitter.com/GingerRey2011/status/1410022187197730816
26,1410022090447765506,Gustavo88322001,2021-06-29 23:47:17+00:00,"Soy el unico que se vacuno y no subio foto del certificado??

#VacunaCOVID19 #COVID19",https://twitter.com/Gustavo88322001/status/1410022090447765506
27,1410021942170722305,sr_millagui,2021-06-29 23:46:42+00:00,"#COVID19
Fuimos a Cuarentena sin plata Con miles de permisos
Se entrega el Ife desde hoy pero se levanta la Cuarentena justo el día que se anunció la llegada de la variante Delta
Que Tarado  toma estas deciciones
No pueden hacerlo más mál si se puede hacer peor
Delirantes",https://twitter.com/sr_millagui/status/1410021942170722305
28,1410021940564271105,Quisqueyano56,2021-06-29 23:46:42+00:00,"¿Ahora que ya la población está siendo vacunada contra el covid-19, tiene sentido mantener el toque de queda?",https://twitter.com/Quisqueyano56/status/1410021940564271105
29,1410021932938977282,laura_llambi,2021-06-29 23:46:40+00:00,"Seguimos en rojo, pero hoy Uruguay cumple 15 días consecutivos con Indice de Harvard a la baja:  el 14/6: era 90,38; hoy 29/6: es 40,23.  El desafío es encontrar el justo equilibrio entre el natural optimismo y el cantar victoria antes de tiempo. A seguir cuidandose. #COVID19",https://twitter.com/laura_llambi/status/1410021932938977282
30,1410021799107104772,Derenkuyu,2021-06-29 23:46:08+00:00,"Según el ranking de Bloomberg, la Argentina es el peor país para pasar la pandemia de COVID-19
Se trata de un informe de resiliencia entre 53 países, donde se tienen en cuenta diversos factores como la vacunación. Argentina quedó último.",https://twitter.com/Derenkuyu/status/1410021799107104772
31,1410021651979378690,rijecas,2021-06-29 23:45:33+00:00,"DA TERROR: Según medios Ali Humar ya tenía las dosis completas de vacunas Covid-19, pero se contagió y la enfermedad se lo llevó. El % de inmunidad es escaso, la única prevención segura es el autocuidado, pese al cansancio de las limitaciones que conlleva.",https://twitter.com/rijecas/status/1410021651979378690
32,1410021320331509762,AgenciaSien,2021-06-29 23:44:14+00:00,"Al reducir el aforo en hoteles a un 25 por ciento como medida de prevención de contagios ante un incremento de Covid-19, empresarios del ramo que cuentan con contratos con empresas principalmente petroleras, deberán repartir el trabajo... #DeCarmen #hoteleros",https://twitter.com/AgenciaSien/status/1410021320331509762
33,1410021116559515648,jesusdiazR80,2021-06-29 23:43:25+00:00,Estoy sintiéndome mala persona pero pana es que NO PUEDO CON LA HP IRRESPONSABILIDAD DE L GENTE,https://twitter.com/jesusdiazR80/status/1410021116559515648
34,1410021045982089221,gabrielcorreajo,2021-06-29 23:43:08+00:00,"Actualización 29 junio Situación COVID-19 🇵🇦 
Día 475
Nuevos casos:1249
Recuperados: 383,656
T.casos:402,581
P.Nuevas:14,244 (+8.7%)
Fallecidos:6,536(7)
Casa:11,341
Hoteles:365
Hospital:683
Sala:575
UCI:108
Total Pruebas:2,983,855
@KWCONTINENTE @TheScritor507 @FernandoCorreaJ",https://twitter.com/gabrielcorreajo/status/1410021045982089221
35,1410020996959010816,RafaelCaceres47,2021-06-29 23:42:57+00:00,"La vacuna contra el covid19 no es la marca de la bestia pero se parece mucho 🤔

Ya que no se va a poder comprar ni vender, trabajar o estudiar, entrar a centros comerciales, no se podrá viajar, se pone obligatoria sobre grandes y pequeños, ricos y pobres. 
¡DESPIERTOS!",https://twitter.com/RafaelCaceres47/status/1410020996959010816
36,1410020865111216129,kyrli,2021-06-29 23:42:25+00:00,"Gracias Sucre, ya que solo se pega la Covid-19 los domingos... Ya me siento súper segura de estar en casa 🙂",https://twitter.com/kyrli/status/1410020865111216129
37,1410020624630784008,JuleSpaceman,2021-06-29 23:41:28+00:00,"Si coger es rico, imagínate completar tu esquema de vacunación COVID-19.",https://twitter.com/JuleSpaceman/status/1410020624630784008
38,1410020554866896906,Pekitabonita,2021-06-29 23:41:11+00:00,"No manchen! En 2 semanas me he enterado de 6 amigos de entre 35 y 42 años, enfermos por Covid 19… 2 de ellos ya con una vacuna (que estaban incubando antes sin saberlo)",https://twitter.com/Pekitabonita/status/1410020554866896906
39,1410020546331516928,TReporta,2021-06-29 23:41:09+00:00,"""Anunciamos que esta noche llega al país 43,290 nuevas dosis de la vacuna contra el #Covid_19 de #Pfizer"", @LPacoSucre. #TReporta",https://twitter.com/TReporta/status/1410020546331516928
40,1410020291049312259,TamaraGuerraCu,2021-06-29 23:40:08+00:00,"¡¡ÚLTIMO MINUTO!!

Ante los elevados niveles de contagio por Covid-19, Cuba decreta la fase de transmisión comunitaria.",https://twitter.com/TamaraGuerraCu/status/1410020291049312259
41,1410020270664990721,DUINCONSUELOC,2021-06-29 23:40:04+00:00,"Y EL AGUA? EN 29 DIAS DE JUNIO, SOLO 6 DIAS CON SUMINISTRO. RESERVAS AGOTADAS. TANQUES VACIOS. ROPA SUCIA. IMPOSIBLE GUARDAR HIGIENE NECESARIA PARA PREVENIR #COVID19 . SE HAN DEDICADO A MAQUILLAR #CARACAS MIENTRAS LOS PROBLEMAS SE AGRAVAN #SINAGUA",https://twitter.com/DUINCONSUELOC/status/1410020270664990721
42,1410020077756424194,EdnaJaramillotv,2021-06-29 23:39:18+00:00,"HERRERA. ""A partir del próximo 4 de julio, anunciamos cuarentena total en los Distritos de Pesé y Chitré los domingos... en Ocú y Los Pozos, se mantiene el toque de queda de 12:00 a.m. a 4:00 a.m."", Luis Francisco Sucre, ministro de Salud. #Panamá #COVID19 #29Junio",https://twitter.com/EdnaJaramillotv/status/1410020077756424194
43,1410020053437894658,Daniel58990516,2021-06-29 23:39:12+00:00,"Bien por el gobierno nacional, por querer abrir un laboratorio para estudios para una vacuna contra el covid 19 y sus variantes",https://twitter.com/Daniel58990516/status/1410020053437894658
44,1410019856615890950,EstrellaOnline,2021-06-29 23:38:25+00:00,"🔴COVID-19 // Panamá registró 1,249 nuevos casos positivos. Con esta actualización, el país acumula 402,581 contagios.",https://twitter.com/EstrellaOnline/status/1410019856615890950
